ID,カテゴリ,発言者/種別,項目内容,詳細文脈・理由,関連放送回,タイムスタンプ
M173,名言,田淵智也,スイッチ入れればなんとかいける。,第649回の放送で、グミ協会のイベントに参加した時に周りがキラキラしていて馴染みにくかった時に仰られていた名言,第649回,2025/11/12 1:19:23
M174,名言,田淵智也,風邪引かないのは本当に大事,第649回の放送で、副鼻腔炎になった田淵さんが仰られていた名言,第649回,2025/11/12 1:20:38
M175,名言,田淵智也,可愛いって言っていいんだ,第649回の放送で、田淵さんが以前の自分は可愛いっていう言葉をいうのに渋っていたが周りの人達が使い始めたので自分も使っていいんだという時に仰られていた名言。,第649回,2025/11/12 1:22:58
M176,名言,田淵智也,世の中への恩返しを出来るだけやろう,第712回の放送で、SNSのアカウントを開設した田淵さんが仰られていた名言,第712回,2025/11/12 4:04:40
M177,名言,田淵智也,SNSの悪魔と戦う,第712回の放送で、SNSのアカウントを開設した田淵さんがおすすめを見てしまう時に仰られていた名言,第712回,2025/11/12 4:06:26
M178,名言,田淵智也,毎日見てると会いたくなる,第712回の放送で、タイムラインに出てくるアイドルを何度も見てると会いたくなることを仰られていた名言,第712回,2025/11/13 2:27:25
M179,名言,田淵智也,努力してんだよ。売れてる人はよう。,第712回の放送で、SNSなどで売れている人は努力をしているという時に仰られていた名言,第712回,2025/11/13 3:06:53
M180,名言,田代智一,いかに低い労力で続けられるか,第674回の放送で、たっちレディオを続ける秘訣で仰られていた名言,第674回,2025/11/16 7:51:02
M181,名言,田淵智也,ネクストバッターズサークルでずっと素振りしとけば、きた時に当たる,第674回の放送で、チャンスがくるために準備を怠らないために仰られていた名言,第674回,2025/11/16 7:53:16
M182,名言,田代智一,自分の中のベター、自分の中のベストを目指そう,第674回の放送で、憧れの人を目標にするのではなく自分の中に目標を作ることを仰られていた名言,第674回,2025/11/16 8:00:00
M183,名言,田淵智也,憧れの自分になれなくてもくよくよしない,第674回の放送で、憧れの自分になれなくても大丈夫ということを表現された名言,第674回,2025/11/16 8:02:55
M184,名言,田淵智也,でも、まぁ今が楽しいからいいかぁ,第674回の放送で、憧れの自分になれなくても今の現状を楽しむことを表現された名言,第674回,2025/11/16 8:04:35
M185,名言,田淵智也,人生に飽きそう,第700回の放送で、ミドルエイジクライシスに陥りそうな田淵さんが仰られていた名言,第700回,2025/11/19 23:39:41
M186,名言,デラさん,ずっと42歳でいく,第700回の放送で、ミドルエイジクライシスに陥りそうな田淵さん対して、デラさんが仰られていた名言,第700回,2025/11/19 23:42:11
M187,名言,田淵智也,仲間と何かをする,第700回の放送で、田淵さんが自分は何が好きなのかを突き詰めた時に仰られていた名言,第700回,2025/11/19 23:44:28
M188,名言,田代智一,コミューンをつくる,第700回の放送で、ミドルエイジクライシスになりそうな田淵さんに解決策を提示された名言,第700回,2025/11/20 8:16:08
M189,名言,デラさん,ピュア談ですよ,第700回の放送で、700回の放送全体がこれこそ雑談だという話から、これは雑談ではなくピュア談だと仰られていた名言。,第700回,2025/11/20 8:18:24
M190,名言,田淵智也,修道院に入る,第700回の放送で、ミドルエイジクライシスに悩んだ人は最終的に修道院に入るにたどり着くと仰られていた名言,第700回,2025/11/20 8:20:22
M191,名言,田淵智也,昨日までなしだったことが、今日ありになる,第621回の放送で、新薬が発明された時に医者の方が手のひらを返したように称賛することを自分でも肝に銘じているという時に仰られていた名言,第621回,2025/11/25 1:33:00
