ID,発言者,名言内容,文脈・詳細,関連放送回,タイムスタンプ
M098,田淵智也,デラさんから闇のアドバイス,第8回放送で業界の裏話をしてる時に仰られていた名言。,第8回,2025/09/11 4:02:56
M099,田代智一,すごいね、性格も声もトゲトゲなんだね。,第8回放送で、前半に毒舌発言があったり、声質がトゲトゲされてた田淵さんに仰られていた名言。,第8回,2025/09/11 4:10:19
M100,田淵智也,人と友達になるのはハプニング,第15回放送で、友達の作り方について話していた時に仰られていた名言。,第15回,2025/09/14 13:21:42
M101,デラさん,体験を買ってほしい,第18回放送で、田代さんにクロスバイクを勧める時に仰られていた名言,第18回,2025/09/21 0:22:07
M102,田淵智也,ネットは井戸端会議の延長,第19回の放送でSNSの発言が問題になった事件で仰られていた名言,第19回,2025/09/21 1:14:24
M103,田代智一 / 田淵智也,他の人がやってないからやらなきゃ,第21回放送で、なぜ音楽をやっているのかを聞かれて仰られていた名言,第21回,2025/09/21 8:05:32
M104,田淵智也,スランプ1回もない,第21回放送で、田代さんにスランプがないか聞かれた時に仰られていた名言,第21回,2025/09/21 8:08:20
M105,田淵智也,わかられたい、認められたい、かっぱえびせん,第21回放送でなぜ曲を作るのかの議論で曲を作る人は寂しい人という話しから出た名言,第21回,2025/09/21 8:10:12
M106,田代智一,やっぱりミュージシャン、音で会話しようぜ,第26回放送で、フェス会場で会話ができない田淵さんに仰られていた名言,第26回,2025/09/26 5:48:28
M107,田代智一,先輩ノブオブですね！(ノーブレス・オブリージュ,第26回放送のたっちディクショナリーで出た名言,第26回,2025/09/26 5:50:17
M108,田代智一,ハリウッド通の俺から言わしてもらうと,第29回放送で、ハリウッド映画がお好きな田代さんが仰られていた名言,第29回,2025/09/26 5:53:24
M109,たっちレディオ,60点を毎日やってみる,キャパを超える目標に向かって走っても続かないから、これくらいならできるかもをやってみる。,,2025/09/27 22:56:00
M110,田淵智也,お得意のスマホ,まだ田淵さんがガラケーだった頃かスマホにしたばかりの頃か覚えていないのですが、何かを調べる時にすぐスマホを使うのを「お得意のスマホで」と田淵さんが仰っていたような気がします、ふふっとなりとても好きです,,2025/09/28 11:19:46
M111,田代智一,僕ぐらいの人間になるとガムをあげたい人は1人くらいしかいないんで、まぁ田代さんですけど,第30回放送で、親切にする話しで仰られていた名言,第30回,2025/09/28 11:24:17
M112,田代智一,ベストタイムは奇跡のタイム,第32回放送で、飲み会に遅刻した田淵さんに仰られていた名言,第32回,2025/09/28 11:26:36
M113,デラさん,わかってなさを面白がる,第500回放送で映画「TENETテネット」についての話題で仰られていた名言,第500回,2025/09/29 10:14:52
M114,田淵智也,なるほど、面白い、その考えもあるよね,第500回放送で写真を撮る、撮らないの話題からお互いの言い分を認めるから出た名言,第500回,2025/09/29 10:19:26
M115,田代智一,一番大切なものを決めない,第34回放送で、リスナーから一番大切にしてるものはなんですか？という質問で、いつ何が大切になるかわからないからあえて決めないという話しから出た名言,第34回,2025/09/29 10:22:59
M116,田代智一,バタフライ理論で幸せになっている人がいるはず,第36回放送で、年末になりたっちレディオも長くやってきて救われた人もいるはずという話しから出た名言,第36回,2025/09/29 10:26:04
M117,田淵智也,俗の低い飲み会,第36回放送で、田代さんがラジオでの立ち位置を考えていた時にそのリアクションは俗の低い飲み会のノリですよの時に出た名言,第36回,2025/09/29 10:29:28
M118,デラさん,課題が多い人がうらやましい,第36回放送で、デラさんがゴールを決めれば何でも出来るという話しから他の人をみてまだこんなに改善できる課題があってうらやましいという話しから出た名言,第36回,2025/09/29 10:32:33
M119,田代智一,元祖は旨い意味じゃない,第35回放送で元祖より派生店の料理の方が旨いという話しから出た名言,第35回,2025/09/29 10:35:09
M120,田代智一,未来の自分をかけてはダメだよ,第35回放送で、お願いギブアンドテイクで未来の自分を犠牲にしてはダメという話しから出た名言,第35回,2025/09/29 10:37:33
M121,田代智一,親しき仲にも礼儀あれ,第39回放送で、リスナーの方から人見知りでなかなか仲良くなれないという話しから仰られていた名言,第39回,2025/10/02 8:34:04
M122,田淵智也,頭良くなるラジオみたいじゃない？,第39回放送で、ドMもんに送られてきたメールが意味深なメールですごい推測をされていた時に仰られていた名言,第39回,2025/10/02 8:38:12
M123,田代智一 / 田淵智也,言葉の賞味期限。言葉って鮮度がある。,第41回放送で、言葉愛好家のお二人が仰られていた名言,第41回,2025/10/02 8:59:30
M124,畑亜貴,軽いことこそ真剣に,第43回放送で、なんてこった林檎を作詞した時に仰られていた名言,第43回,2025/10/02 9:02:04
M125,畑亜貴,１２０%以上出さないと私は失敗だと思ってるんで,第43回放送で、畑さんの仕事に対する話しで仰られていた名言,第43回,2025/10/02 9:03:34
M126,田代智一,その正義は本当に正義なのか,第454回。正義感からの行動が相手や周囲にとって本当に良い結果を生むのか、多角的な視点を持つ重要性を語った名言。,第454回,2025/10/04 7:27:17
M127,徳永憲,かませいぬでもチャンスはチャンス,第49回放送で、徳永さんがデキレースのオーディションに参加するときのモチベーションで仰られていた名言,第49回,2025/10/18 10:48:10
M128,田淵智也,上手い人のミスは可愛い,第55回放送で、眉毛の書き方が普段と違う人がいてキュンとした話で田淵さんが仰られていた名言,第55回,2025/10/18 10:50:51
M129,田淵智也,他の人がやってるなら俺やらなくてよくない？,第57回放送で、桜ソングが多すぎるという話から仰られていた名言,第57回,2025/10/19 2:02:20
M130,田淵智也,回復するにはリハビリがいる。,第685回の放送で、忙しい田淵さんが仰られていた名言,第685回,2025/10/20 1:33:51
M131,田代智一,すごいバッターでも3割しか打てない。3割でよくない？,第685回の放送で、完璧主義な田淵さんに仰られていた名言,第685回,2025/10/20 1:36:02
M132,田淵智也,Xのおすすめは見ない方がいい,第685回。SNSの情報過多やタイムラインに疲れた時に、精神的な平穏を保つためのライフハックとして出た名言。,第685回,2025/10/20 1:37:43
M133,たっちレディオ,動かない人生より、動く人生や!!!!!!!!!,第709回の冒頭です。田淵さんがメールを送信する場面のお話。,第709回,2025/10/21 10:58:09
M134,田代智一,自分に課題を課すんじゃなくて、まず楽しいことから始める,第62回放送で、3日坊主に悩んでいるリスナーの方に仰られていた名言。,第62回,2025/10/24 23:14:27
M135,田淵智也,俺、脇役になりたい,第64回放送で、出しゃばりたくないけど空気的に出しゃばってしまうことが悩みという話で仰られていた名言,第64回,2025/10/25 0:16:01
M136,田代智一,仕事の電話だって言って、その場から立ち去る。,第64回の放送で、飲み会での沈黙が怖い田淵さんにアドバイスした名言。,第64回,2025/10/25 0:25:22
M137,デラさん,顔だけで相づちをうつ,第64回の放送で、声が出る相づちをたくさんしてしまう田淵さんに対してデラさんが仰られていたアドバイス名言,第64回,2025/10/25 0:38:20
M138,田代智一,気楽に地球を救えるのが良い。,第65回の放送で、エコのアイデアの話がたくさんでたときに、義務とか努力じゃなくて楽しくエコ活動できたらいいよねという話のまとめで仰られていた名言。,第65回,2025/10/25 1:52:08
M139,田淵智也,そんなにお前に興味ねぇ,第76回放送で、会議などで緊張してしまうというリスナーの悩みに答えられていた名言,第76回,2025/10/25 22:48:33
M140,田代智一,それは事実として通りすぎよう,第76回放送で、会議で緊張してしまうリスナーの方に答えられていた名言,第76回,2025/10/25 22:50:47
M141,田代智一,閉塞感を打破するには起爆剤が必要,第76回放送で、会議に女性がいると緊張してしまうリスナーに対して、趣味のサークルやクラブにいってみるなどのアイデアのときに仰られていた名言,第76回,2025/10/25 22:59:26
M142,田淵智也,オニ連しかない,第552回放送で、ドラムをやっているがこれから先何を頑張ったらいいかというリスナーからの質問に答えられた名言,第552回,2025/10/27 5:47:46
M143,田淵智也,何者でもない時は何でもやるしかない,第552回放送で、ドラムをやっているリスナーからどうすれば音楽を仕事にできるかという質問に対して答えられていた名言,第552回,2025/10/27 5:49:18
M144,田淵智也,ケバブどこで食ってもうまい,第613回の放送で、デラさんが帰国されていてオススメのお店を話していたときに仰られていた名言,第613回,2025/10/29 8:11:01
M145,田淵智也,世の中を良くする,第613回の放送で、2023年の目標で仰られていた名言,第613回,2025/10/29 8:12:18
M146,田淵智也,質問するやつはえらい,第537回の放送で、たっちレディオのイベントで質問できなかったリスナーの方に仰られていた名言,第537回,2025/10/29 8:13:53
M147,田代智一,1人サファリパークはきつい,第78回放送で、世の中で一番きつい1人～は何かという話になって仰られていた名言,第78回,2025/10/29 8:31:31
M148,田淵智也,寿司でも時事ネタでも旬が大事,第79回放送で、時事ネタ回を話すときに仰られていた名言,第79回,2025/10/29 8:56:57
M149,田淵智也,外野だまってろ,第79回放送で、漫画家のアシスタントがブラックだという話から仰られていた名言,第79回,2025/10/29 9:15:55
M150,田淵智也,謙虚な姿勢で日々を生きてる,第80回放送で、前回の放送で田淵さんが喋りすぎてるということを気にしているときに仰られていた名言,第80回,2025/10/29 9:35:15
M151,田淵智也,心を込めることを諦めてはいけない,第737回の放送で、転職しようか迷っているリスナーに仰られていた名言,第737回,2025/10/31 6:15:34
M152,田淵智也,やった方が人生はおもろい,第687回の放送で、仮面浪人をオススメしたデラさんの案に対して仰られていた名言,第687回,2025/11/01 21:08:33
M153,田代智一,星1レビューつけるしかない,第687回の放送で、旅行先の飲食店に男女2人で行ったが男性客の方だけ大盛だったという閉塞感に仰られていた名言,第687回,2025/11/01 21:15:33
M154,田淵智也,砂糖と人工甘味料は普通にダメ,第687回放送で、肌荒れに悩んでいた田淵さんがお医者さんに言われた名言,第687回,2025/11/01 21:23:02
M155,田淵智也,カウンセリングに行く,第687回の放送で、美容にお金をかけすぎてしまうのではないかというリスナーの不安に仰られていた名言,第687回,2025/11/01 21:50:34
M156,田代智一,生ものだからしょうがないじゃん,第83回の放送で、ギターの発表でミスをしてしまったリスナーに仰られていた名言,第83回,2025/11/05 4:58:17
M157,田淵智也,世の中って思ったより場あたり,第83回放送で、ギターを続けるか絵の道に進むか迷っていたリスナーに仰られていた名言,第83回,2025/11/05 5:00:23
M158,田淵智也,楽しくないならやらなきゃいい,第83回の放送で、ギターを続けるか、絵の道に進むかで迷っているリスナーに仰られていた名言,第83回,2025/11/05 5:03:40
M159,田淵智也,思わぬところで潰しがきく,第83回の放送で、ギターを続けるか、絵の道に進むかで迷っていたリスナーに仰られていた名言,第83回,2025/11/05 5:06:21
M160,田淵智也,誰が言ってるか問題,第681回放送で、芸能人の結婚しましたという投稿にコメントすることに対する名言,第681回,2025/11/05 5:10:15
M161,田淵智也,みんなが見えるところでやんなくてよくね,第681回の放送で、芸能人の結婚しましたの投稿にコメントすることに対する名言,第681回,2025/11/05 5:12:16
M162,田淵智也,手紙を書けよ,第681回の放送で、芸能人の結婚しましたという投稿にコメントすることに対する名言,第681回,2025/11/05 5:13:43
M163,田淵智也,なんとかなるんじゃん精神,第688回放送で、SNSで子どもを産むことに否定的な意見が多いことに閉塞感を抱えているリスナーの方に仰られていた名言,第688回,2025/11/07 10:45:12
M164,田代智一,余計なこと考えず、自分の人生やった方がいい。,第688回で、SNSで子どもを産むことに否定的な意見が多いことに悩んでいるリスナーの方に仰られていた名言,第688回,2025/11/07 10:47:10
M165,田代智一,調べすぎずに、自分のことだけに集中。自分のことだけに構った方がいい,第673回。仕事や人間関係で疲れて休養中のリスナーへ、ネット情報に惑わされず自分自身のケアに専念するようアドバイスした名言。,第673回,2025/11/07 20:59:46
M166,田淵智也,休んではいけないという同調圧力に負けずに休め,第673回。無理をしてしまいがちなリスナーに対して、周囲の目を気にせずしっかりと休息を取ることの大切さを伝えた名言。,第673回,2025/11/07 21:13:17
M167,田代智一,マッチョにならなくてもいい,第677回の放送で、インターネットだと強くなれみたいな意見が多いが弱くてもいいということを仰られていた名言,第677回,2025/11/08 22:52:40
M168,田淵智也,孤独じゃなければ人は死なない,第677回。思い悩んでいるリスナーに対して、人との繋がりや相談できる環境の重要性を力強く伝えた名言。,第677回,2025/11/08 22:53:53
M169,田代智一,あなたが忙しいように私も忙しいんです,第93回の放送で、断ることが苦手なリスナーの方に断り方を仰られていた名言,第93回,2025/11/10 16:52:13
M170,田代智一,言い訳をしないでサックリ断る,第93回放送で、断ることが苦手なリスナーの方に断る時は理由を伝えずに断る方が良いということで仰られていた名言,第93回,2025/11/10 16:54:10
M171,田代智一,自分に向いてるリア充を探す,第93回の放送で、積極的になってリア充を目指すというリスナーの方に、リア充だから積極的になる必要はないということを仰られていた名言,第93回,2025/11/10 16:56:13
M172,田淵智也,人を信頼して投げる,第93回の放送で、デラさんの目標が人に任せるという目標の時に仰られていた名言,第93回,2025/11/10 16:57:56
M173,田淵智也,スイッチ入れればなんとかいける。,第649回の放送で、グミ協会のイベントに参加した時に周りがキラキラしていて馴染みにくかった時に仰られていた名言,第649回,2025/11/12 1:19:23
M174,田淵智也,風邪引かないのは本当に大事,第649回の放送で、副鼻腔炎になった田淵さんが仰られていた名言,第649回,2025/11/12 1:20:38
M175,田淵智也,可愛いって言っていいんだ,第649回の放送で、田淵さんが以前の自分は可愛いっていう言葉をいうのに渋っていたが周りの人達が使い始めたので自分も使っていいんだという時に仰られていた名言。,第649回,2025/11/12 1:22:58
M176,田淵智也,世の中への恩返しを出来るだけやろう,第712回の放送で、SNSのアカウントを開設した田淵さんが仰られていた名言,第712回,2025/11/12 4:04:40
M177,田淵智也,SNSの悪魔と戦う,第712回の放送で、SNSのアカウントを開設した田淵さんがおすすめを見てしまう時に仰られていた名言,第712回,2025/11/12 4:06:26
M178,田淵智也,毎日見てると会いたくなる,第712回の放送で、タイムラインに出てくるアイドルを何度も見てると会いたくなることを仰られていた名言,第712回,2025/11/13 2:27:25
M179,田淵智也,努力してんだよ。売れてる人はよう。,第712回の放送で、SNSなどで売れている人は努力をしているという時に仰られていた名言,第712回,2025/11/13 3:06:53
M180,田代智一,いかに低い労力で続けられるか,第674回の放送で、たっちレディオを続ける秘訣で仰られていた名言,第674回,2025/11/16 7:51:02
M181,田淵智也,ネクストバッターズサークルでずっと素振りしとけば、きた時に当たる,第674回の放送で、チャンスがくるために準備を怠らないために仰られていた名言,第674回,2025/11/16 7:53:16
M182,田代智一,自分の中のベター、自分の中のベストを目指そう,第674回の放送で、憧れの人を目標にするのではなく自分の中に目標を作ることを仰られていた名言,第674回,2025/11/16 8:00:00
M183,田淵智也,憧れの自分になれなくてもくよくよしない,第674回の放送で、憧れの自分になれなくても大丈夫ということを表現された名言,第674回,2025/11/16 8:02:55
M184,田淵智也,でも、まぁ今が楽しいからいいかぁ,第674回の放送で、憧れの自分になれなくても今の現状を楽しむことを表現された名言,第674回,2025/11/16 8:04:35
M185,田淵智也,人生に飽きそう,第700回の放送で、ミドルエイジクライシスに陥りそうな田淵さんが仰られていた名言,第700回,2025/11/19 23:39:41
M186,デラさん,ずっと42歳でいく,第700回の放送で、ミドルエイジクライシスに陥りそうな田淵さん対して、デラさんが仰られていた名言,第700回,2025/11/19 23:42:11
M187,田淵智也,仲間と何かをする,第700回の放送で、田淵さんが自分は何が好きなのかを突き詰めた時に仰られていた名言,第700回,2025/11/19 23:44:28
M188,田代智一,コミューンをつくる,第700回の放送で、ミドルエイジクライシスになりそうな田淵さんに解決策を提示された名言,第700回,2025/11/20 8:16:08
M189,デラさん,ピュア談ですよ,第700回の放送で、700回の放送全体がこれこそ雑談だという話から、これは雑談ではなくピュア談だと仰られていた名言。,第700回,2025/11/20 8:18:24
M190,田淵智也,修道院に入る,第700回の放送で、ミドルエイジクライシスに悩んだ人は最終的に修道院に入るにたどり着くと仰られていた名言,第700回,2025/11/20 8:20:22
M191,田淵智也,昨日までなしだったことが、今日ありになる,第621回の放送で、新薬が発明された時に医者の方が手のひらを返したように称賛することを自分でも肝に銘じているという時に仰られていた名言,第621回,2025/11/25 1:33:00
M192,田代智一,もっともらしい説明を真に受けない方がいい,第621回の放送で、田代さんのたっちメモに書いてあった名言。,第621回,2025/11/30 6:19:44
M193,田淵智也,恐れはあるけど、蓋明ければなんとかなるんじゃないの,第625回の放送で、小学生から中学生になるのに不安というリスナーからのメールに仰られていた名言,第625回,2025/12/12 8:53:01
M194,田淵智也,世の中の不条理や怒りは全てウケるに変換できる,第625回の放送で、小学生から中学生になるのに不安を抱えているリスナーからのメールに仰られていた名言,第625回,2025/12/12 8:54:27
M195,田淵智也,学んどいて損はない,第107回放送で、詰め込み教育の話題になっているときに微分積分や歴史の年号を学ぶのに意味がないということにたいして仰られていた名言,第107回,2025/12/14 6:49:38
M196,田代智一,突き詰めると運だよね,第113回の放送で、実写化作品のできばえについて仰られていた名言,第113回,2025/12/14 7:23:55
M197,田淵智也,嫌がる人もいるよね,第113回の放送で、アイドルのライブで撮影OKにしている界隈の話題で仰られていた名言,第113回,2025/12/14 7:25:40
M198,田淵智也,ボロクソに褒めてください,第113回の放送で、閉塞感を打破できた感想が欲しいと仰られていた名言,第113回,2025/12/14 7:27:32
M199,田淵智也,俺らの気づかないところで見えない力が働いてる,第119回の放送で、漢字の書き順が昔と違っているのではないかという話題で仰られていた名言,第119回,2025/12/14 8:56:18
M200,田淵智也,お前それ電話だぞ,第119回の放送で、スマホのアプリをたくさん入れている人に対して仰られていた名言,第119回,2025/12/14 8:57:34
M201,田淵智也,宗教上の理由でGPS使えない,第119回の放送で、Googleマップの現在位置が使えない時に仰られていた名言。コンパスのアプリは入れている。,第119回,2025/12/14 8:59:27
M202,田淵智也,俺が最初に目を付けてたのに現象ね,第119回の放送で、デラさんがLINEアプリを流行る前から使用していたという発言に仰られていた名言。,第119回,2025/12/14 9:01:29
M203,田代智一,なんなのみんなストーカー？,第121回の放送で、田代さんのツイートに田淵さんが載っていたらたくさんリツイートされたという話題から仰られていた名言,第121回,2025/12/14 9:40:09
M204,田代智一,田淵さんに友達いるよ。田代さんが友達だよ。,第121回の放送で、田代さんのツイートに田淵さんが写っている画像をアップしたらたくさんリツイートされた話題で、みんながリツイートすることで田淵さんに田代さんが友達なんだよということを伝えているということを仰られていた名言。,第121回,2025/12/14 9:43:11
M205,田淵智也,私のポテンシャルを過小評価しすぎじゃない？,第121回の放送で、飲み会の途中で寝てしまうのは小休止。サッカーで言うところのハーフタイムだと仰られていた時に出た名言。,第121回,2025/12/14 9:45:04
M206,田淵智也,生涯で一番忙しい1ヶ月,第121回目の放送で、なんども言っていると前置きしたうえで一番忙しい時期が終わった時に仰られていた名言。,第121回,2025/12/14 9:46:54
M207,デラさん,シャラくさいですよね！,第121回の放送で、キリンのCMが以前のものと比べて評価されているのはバラエティーの手法によるものであることを気づいていないネット民に対して仰られていた名言,第121回,2025/12/14 9:49:31
M208,田淵智也,大ボケをかます,第756回の放送で、40歳の記念にソロアルバムを出した田淵さんが仰られていた名言,第756回,2025/12/25 7:37:04
